Country,Confirmed,Deaths,Recovered,Active,Recovery_rate,Death_rate,Continent,Population
Afghanistan,36369,1279,25216,9796,69.48680473209608,3.499434685492099,Asia,39009447.0
Albania,4997,150,2808,1991,56.25,2.9508196721311477,Europe,2877470.0
Algeria,28589,1171,19586,7973,67.33993493726092,4.1575805240767885,Africa,43926079.0
Andorra,917,52,803,52,88.53362734288865,5.733186328555679,Europe,77278.0
Angola,968,42,242,667,25.473684210526315,4.315789473684211,Africa,32956300.0
Antigua and Barbuda,90,3,70,18,75.5813953488372,3.488372093023256,North America,98010.0
Argentina,172306,3179,74632,91782,43.35009795957376,1.827184976346347,South America,45236884.0
Armenia,37463,717,26852,10014,71.31585985557636,1.901577962021931,Asia,2963811.0
Australia,15671,173,9448,5825,60.84427889956218,1.0912892896817616,Australia/Oceania,25528864.0
Austria,20644,714,18283,1599,88.75376982196713,3.46823620974803,Europe,9011577.0
Azerbaijan,30842,429,23800,6781,76.33843526243184,1.389345069959929,Asia,10148243.0
Bahamas,422,11,91,280,23.82198952879581,2.8795811518324608,North America,393616.0
Bahrain,39833,142,36531,3231,91.45939921989768,0.3571247657160225,Asia,1706669.0
Bangladesh,228997,3002,127484,97577,55.5566360923859,1.310642059896121,Asia,164851401.0
Barbados,110,7,94,9,85.45454545454545,6.363636363636363,North America,287411.0
Belarus,67370,542,60559,6221,89.94959182763081,0.7999881042661077,Europe,9449001.0
Belgium,66830,9823,17466,39154,26.272053953152287,14.785933642439936,Europe,11594739.0
Belize,48,2,26,20,54.166666666666664,4.166666666666666,North America,398312.0
Benin,1770,35,1036,699,58.53107344632769,1.977401129943503,Africa,12151976.0
Bhutan,103,0,87,13,86.86868686868688,0.0,Asia,772443.0
Bolivia,72933,2711,21787,47056,30.173782329554232,3.718688975990784,South America,11688459.0
Bosnia and Herzegovina,11229,308,5305,5274,46.96132596685083,2.8005334349399886,Europe,3278650.0
Botswana,792,3,74,674,8.525033829499323,0.2706359945872801,Africa,2356075.0
Brazil,2465659,88232,1880369,508116,75.60841394134808,3.5874097957930293,South America,212710692.0
Bulgaria,10815,354,5815,4689,52.584502400903865,3.267112324639864,Europe,6942854.0
Burkina Faso,1114,53,932,121,84.18181818181819,4.818181818181818,Africa,20954852.0
Burundi,395,1,323,76,79.62962962962963,0.26455026455026454,Africa,11922216.0
Cabo Verde,2349,22,1653,756,66.5807560137457,0.9450171821305842,Africa,556581.0
Cambodia,227,0,151,79,65.04424778761062,0.0,Asia,16741375.0
Cameroon,17512,397,14539,2180,84.97369959088252,2.2852133255406195,Africa,26606188.0
Canada,117140,8955,0,107514,0.0,7.68002198217383,North America,37775022.0
Chad,929,75,810,37,87.85249457700651,8.134490238611713,Africa,16467965.0
Chile,350056,9262,321813,18782,91.96115232393375,2.640526783225024,South America,19132514.0
Colombia,273407,9285,142655,117163,51.01535972244371,3.4138334740043796,South America,50936262.0
Comoros,354,7,328,19,92.65536723163842,1.977401129943503,Africa,871326.0
Costa Rica,16453,126,3912,11902,24.139890158449592,0.7259642699324538,North America,5098730.0
Croatia,4905,142,4006,806,80.63921327596803,2.8477770948576113,Europe,4102577.0
Cuba,2569,87,2353,94,92.85150078988941,3.4360189573459716,North America,11325899.0
Cyprus,1063,19,852,189,80.37735849056604,1.7924528301886793,Asia,1208238.0
Czechia,15708,375,11428,3715,73.65300335137923,2.4039700953854086,Europe,10711019.0
Denmark,13870,613,12682,543,91.59944771455562,4.454618123682872,Europe,5794279.0
Djibouti,5068,58,4988,24,98.37912630954733,1.1464716347104171,Africa,989387.0
Dominica,18,0,18,0,100.0,0.0,North America,72004.0
Dominican Republic,65404,1103,31805,32869,47.07899494980984,1.688072822495168,North America,10858648.0
Ecuador,81628,5549,34896,40733,42.9960202560343,6.8160816155542685,South America,17668824.0
Egypt,92902,4698,35845,52992,37.670033087519734,5.0301680326982545,Africa,102516525.0
El Salvador,15440,416,7908,6849,51.73262387761889,2.7136681077485867,North America,6489514.0
Equatorial Guinea,3071,51,842,2178,27.417779225008143,1.660696841419733,Africa,1407001.0
Eritrea,267,0,193,74,72.0754716981132,0.0,Africa,3551175.0
Estonia,2034,69,1924,42,94.54277286135692,3.392330383480826,Europe,1326627.0
Eswatini,2425,36,1064,1257,44.2573402417962,1.468048359240069,Africa,1161348.0
